"ap_dict_id","org","pathway","pathway_nodes","pathway_edges","pathway_radius","pathway_diameter","ap_ec","ap_group","ap_percentage","eccentricity","degree","closeness","betweenness","eigen_centrality","noSubgraphs","subgraph1_size","subgraph1_community","subgraph1_mean_degree","subgraph2_size","subgraph2_community","subgraph2_mean_degree","subgraph3_size","subgraph3_community","subgraph3_mean_degree","subgraph4_size","subgraph4_community","subgraph4_mean_degree","subgraph5_size","subgraph5_community","subgraph5_mean_degree","subgraph6_size","subgraph6_community","subgraph6_mean_degree","subgraph7_size","subgraph7_community","subgraph7_mean_degree","subgraph8_size","subgraph8_community","subgraph8_mean_degree","subgraph9_size","subgraph9_community","subgraph9_mean_degree","subgraph10_size","subgraph10_community","subgraph10_mean_degree","subgraph11_size","subgraph11_community","subgraph11_mean_degree","subgraph12_size","subgraph12_community","subgraph12_mean_degree","subgraph13_size","subgraph13_community","subgraph13_mean_degree"
4054,"ec",626,13,11,1,6,"ec:1.14.12.12","Q2",3.1666247800955,1,2,0.00641025641025641,0,0,4,2,3,0.666666666666667,1,1,0,1,1,0,8,4,1.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4056,"ec",626,13,11,1,6,"ec:1.3.1.29","Q1",0.251319426991706,5,2,0.0102040816326531,0.0454545454545455,0,4,2,3,0.666666666666667,3,3,0,1,1,0,6,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4057,"ec",626,13,11,1,6,"ec:1.13.11.56","Q1",0.226187484292536,4,2,0.00952380952380952,0.0757575757575758,0,4,2,3,0.666666666666667,3,3,0,2,2,1,5,3,1.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4058,"ec",626,13,11,1,6,"ec:5.99.1.4","Q1",0.804222166373461,3,2,0.00884955752212389,0.0909090909090909,0,4,2,3,0.666666666666667,3,3,0,3,3,1.33333333333333,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4059,"ec",626,13,11,1,6,"ec:4.1.2.45","Q1",0.854486051771802,4,2,0.00819672131147541,0.0909090909090909,0,4,2,3,0.666666666666667,3,3,0,4,2,1.5,3,3,0.666666666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4060,"ec",626,13,11,1,6,"ec:1.2.1.65","Q1",0.226187484292536,5,3,0.00757575757575758,0.0757575757575758,0,4,2,3,0.666666666666667,3,3,0,5,2,1.6,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4069,"ec",627,55,102,2,11,"ec:1.14.13.167","Q1",0.051907604464054,2,5,0.000336700336700337,0,0,4,5,6,2.33333333333333,1,1,0,33,8,3.57575757575758,15,5,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4074,"ec",627,55,102,2,11,"ec:1.2.1.67","Q2",7.08538800934337,8,3,0.000422832980972516,0.00419287211740042,0,4,7,8,1.75,33,8,3.33333333333333,13,7,2,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4078,"ec",627,55,102,2,11,"ec:6.2.1.32","Q3",11.6792110044121,8,3,0.000434971726837756,0.000349406009783368,0,4,7,8,1.75,31,9,3.16129032258065,15,7,2.13333333333333,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4081,"ec",627,55,102,2,11,"ec:1.14.12.23","Q2",3.2701790812354,7,4,0.000426985482493595,0.00419287211740042,0,4,7,8,1.75,28,9,3.28571428571429,4,4,1,15,7,2.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4082,"ec",627,55,102,2,11,"ec:5.4.4.1","Q2",1.99844277186608,10,2,0.000342935528120713,0.000698812019566737,0,4,7,8,1.75,31,9,3.2258064516129,15,7,2.13333333333333,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4084,"ec",627,55,102,2,11,"ec:1.7.1.16","Q1",0,8,2,0.000467071461933676,0,0,4,7,8,1.75,29,9,3.24137931034483,3,3,0.666666666666667,15,7,2.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4085,"ec",627,55,102,2,11,"ec:1.7.1.16","Q1",0,9,2,0.000349283967865875,0.000698812019566737,0,4,7,8,1.75,30,9,3.2,2,2,0,15,7,2.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4086,"ec",627,55,102,2,11,"ec:4.1.1.61","Q4",58.3441474175967,6,6,0.000393545848091303,0.0167714884696017,0,4,7,8,1.75,21,6,3.04761904761905,11,5,1.27272727272727,15,7,2.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4087,"ec",627,55,102,2,11,"ec:1.14.13.7","Q2",5.06099143524526,6,4,0.000409668168783286,0.0157232704402516,0,4,7,8,1.75,22,6,3.72727272727273,10,4,1.4,15,7,2.13333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4103,"ec",627,55,102,2,11,"ec:5.1.2.2","Q2",1.71295094731378,10,3,0.000457247370827618,0,0,4,7,8,1.75,31,7,3.48387096774194,15,7,2.13333333333333,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4113,"ec",627,55,102,2,11,"ec:1.97.1.2","Q1",0,8,2,0.000342935528120713,0.00419287211740042,0,4,7,8,1.75,33,8,3.33333333333333,13,6,2.30769230769231,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4114,"ec",627,55,102,2,11,"ec:4.1.1.59","Q2",5.16480664417337,7,4,0.000377073906485671,0.00908455625436757,0,4,7,8,1.75,33,8,3.33333333333333,12,4,2,2,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4116,"ec",627,55,102,2,11,"ec:2.1.1.341","Q2",1.53127433168959,6,5,0.000377358490566038,0.00681341719077568,0,4,7,8,1.75,33,8,3.57575757575758,13,5,2.46153846153846,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
