"ap_dict_id","pathway","ap_group","pathway_nodes","pathway_edges","betweenness","degree","noSubgraphs","impact_score"
5678,"00920","<30%",60,312,0.000292226767971946,2,4,45.25
5695,"00930","<30%",24,32,0.00296442687747036,4,4,18.25
5704,"00930","<30%",24,32,0,2,4,18.25
5705,"00930","<30%",24,32,0.00691699604743083,5,4,18.25
5708,"00930","<30%",24,32,0,5,4,18.25
5710,"00930","<30%",24,32,0.00395256916996047,3,4,18.25
5713,"00930","<30%",24,32,0.00395256916996047,2,4,18.25
5715,"00930","<30%",24,32,0,3,5,19.4
5721,"00940","<30%",73,154,0.00156494522691706,5,5,58.6
5726,"00940","≥80%",73,154,0.0117370892018779,6,5,58.6
5753,"00940","≥80%",73,154,0.0101721439749609,5,5,58.6
5782,"00940","<30%",73,154,0.000391236306729264,3,6,61
5784,"00940","<30%",73,154,0,2,5,58.6
5785,"00940","<30%",73,154,0.000195618153364632,2,5,58.6
5786,"00940","<30%",73,154,0,2,5,58.6
794,"00120","≥80%",46,66,0,4,7,39.5714285714286
797,"00120","≥80%",46,66,0.00101010101010101,2,7,39.5714285714286
801,"00120","≥80%",46,66,0.00202020202020202,2,7,39.5714285714286
804,"00120","≥80%",46,66,0.00101010101010101,4,7,39.5714285714286
805,"00120","≥80%",46,66,0.00909090909090909,4,7,39.5714285714286
814,"00120","≥80%",46,66,0.00454545454545455,5,7,39.5714285714286
817,"00120","≥80%",46,66,0.0121212121212121,3,7,39.5714285714286
826,"00120","≥80%",46,66,0,2,7,39.5714285714286
831,"00120","≥80%",46,66,0.00202020202020202,2,7,39.5714285714286
5794,"00941","≥80%",83,199,0,4,4,62.5
5797,"00941","<30%",83,199,0.000301114122252334,3,4,62.5
5798,"00941","≥80%",83,199,0.0004516711833785,3,4,62.5
5800,"00941","≥80%",83,199,0.000301114122252334,5,4,62.5
5801,"00941","≥80%",83,199,0,2,4,62.5
5804,"00941","<30%",83,199,0.0355364849944796,10,4,62.5
5811,"00941","≥80%",83,199,0.00511894007828967,3,4,62.5
5818,"00941","≥80%",83,199,0.0373230954531768,11,4,62.5
5834,"00941","≥80%",83,199,0.00481782595603734,3,4,62.5
5844,"00941","≥80%",83,199,0.0004516711833785,3,4,62.5
5846,"00941","≥80%",83,199,0.0004516711833785,5,4,62.5
5848,"00941","≥80%",83,199,0.001806684733514,4,4,62.5
5859,"00941","≥80%",83,199,0.00331225534477567,6,4,62.5
5860,"00941","≥80%",83,199,0,6,4,62.5
5864,"00941","<30%",83,199,0.002710027100271,6,4,62.5
5865,"00941","≥80%",83,199,0.00105389942788317,2,4,62.5
5867,"00941","≥80%",83,199,0.031616982836495,7,4,62.5
5874,"00941","<30%",83,199,0.00120445648900933,3,4,62.5
5875,"00941","<30%",83,199,0.00150557061126167,3,5,66.6
5881,"00942","<30%",43,114,0.00522648083623693,2,4,32.5
5884,"00942","<30%",43,114,0.018815331010453,8,4,32.5
5885,"00942","<30%",43,114,0.00929152148664344,3,4,32.5
5887,"00942","<30%",43,114,0.00232288037166086,9,4,32.5
5897,"00942","<30%",43,114,0.00174216027874564,2,4,32.5
5899,"00942","<30%",43,114,0.00813008130081301,9,5,34.6
5905,"00942","<30%",43,114,0.00580720092915215,4,4,32.5
