dictID,org,pathway,name,entrez,is_bottleneck,reaction,reaction_type,betweenness,degree,community,eccentricity,radius,diameter
310,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R05549,irreversible,0.0264550264550265,13,1,4,3,4
313,mmu,52,ec:3.2.1.20,mmu:14387 / mmu:232714 / mmu:76051,0,rn:R00801,irreversible,0,1,9,5,3,4
314,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R01103,irreversible,0.0264550264550265,13,1,4,3,4
317,mmu,52,ec:1.1.1.21,mmu:11677 / mmu:11997 / mmu:14187 / mmu:67861,0,rn:R01093 rn:R01095,reversible,0,4,1,4,3,4
318,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R01104,reversible,0.0264550264550265,13,1,4,3,4
319,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R01329,reversible,0.0264550264550265,13,1,4,3,4
320,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R02926,reversible,0.0264550264550265,13,1,4,3,4
321,mmu,52,ec:3.2.1.22,mmu:11605,1,rn:R01194,reversible,0.0264550264550265,13,1,4,3,4
322,mmu,52,ec:2.7.1.2,mmu:103988,0,rn:R01786,reversible,0,4,2,3,3,4
323,mmu,52,ec:2.7.1.1,mmu:15275 / mmu:15277 / mmu:212032 / mmu:216019,0,rn:R01786,reversible,0,4,3,3,3,4
324,mmu,52,ec:3.2.1.108,mmu:226413,0,rn:R01678,irreversible,0.0750661375661376,17,1,3,3,4
325,mmu,52,ec:3.2.1.23,mmu:12091,0,rn:R01678,irreversible,0.0750661375661376,17,1,3,3,4
326,mmu,52,ec:5.4.2.2,mmu:66681 / mmu:72157,0,rn:R00959,reversible,0.0144400352733686,9,6,4,3,4
327,mmu,52,ec:2.4.1.22,mmu:14595 / mmu:16770 / mmu:53418,0,rn:R00503,irreversible,0.0168283362727807,4,7,3,3,4
328,mmu,52,ec:5.1.3.2,mmu:74246,0,rn:R00291,reversible,0.00749559082892416,5,7,4,3,4
329,mmu,52,ec:2.7.7.9,mmu:216558,0,rn:R00289,reversible,0.0165343915343915,4,8,5,3,4
