"","X","entryID","name","type","reaction","x","y","graphicalType","width","height","bgcolor","entrez","dictID","reaction_type","org","pathway","is_bottleneck","freq","betweenness","connectivity","triangles","clusteringCoef","closenessCoef","community","eigenvectorScore","eccentricity","radius","diameter","degree","authorityScore","hubScore","bottleneck_classification","lethal_nonlethal","entrezgene_accession"
"45",45,75,"ec:1.2.4.1","gene","rn:R00014",686,241,"rectangle",46,17,"#BFFFBF","sce:YBR221C / sce:YER178W",75,"irreversible","sce",20,0,1,0.0184024577572965,4,7,0.466666666666667,0.00115074798619102,1,2.36326016539181e-15,4,4,7,9,0.293236304664003,0.500441063024993,"HNB","nonlethal",""
"46",46,77,"ec:1.2.4.1","gene","rn:R03270",582,241,"rectangle",46,17,"#BFFFBF","sce:YBR221C / sce:YER178W",76,"irreversible","sce",20,0,1,0.0184024577572965,4,7,0.466666666666667,0.00115074798619102,1,2.36326016539181e-15,4,4,7,9,0.293236304664003,0.500441063024993,"HNB","nonlethal",""
"47",47,80,"ec:1.8.1.4","gene","rn:R07618",529,285,"rectangle",46,17,"#BFFFBF","sce:YFL018C / sce:YPL017C",77,"reversible","sce",20,0,1,0.0639784946236559,4,4,0.4,0.00196078431372549,1,0,4,4,7,5,0.00163895927878754,0.13110066459591,"NHNB","nonlethal",""
"48",48,82,"ec:2.3.1.12","gene","rn:R02569",464,242,"rectangle",46,17,"#BFFFBF","sce:YNL071W",78,"reversible","sce",20,0,1,0.0619047619047619,5,5,0.238095238095238,0.00174825174825175,1,0,4,4,7,7,0.0447336387630764,0.455689060837581,"NHNB","nonlethal",""
"49",49,86,"ec:4.1.1.49","gene","rn:R00341",371,126,"rectangle",46,17,"#BFFFBF","sce:YKR097W",79,"irreversible","sce",20,0,1,0,0,21,0.75,0.00100806451612903,5,3.09082038853274e-15,4,4,7,8,0.887857738690725,1.85725080721201e-16,"NHNB","nonlethal",""
"50",50,92,"ec:1.3.5.1","gene","rn:R02164",215,535,"rectangle",46,17,"#BFFFBF","sce:YDR178W / sce:YJL045W / sce:YKL141W / sce:YKL148C / sce:YLL041C / sce:YLR164W / sce:YMR118C",83,"reversible","sce",20,0,1,0.00737327188940092,2,0,0,0.00248756218905473,4,2.10611682156183e-16,4,4,7,3,2.03319918679561e-17,8.97108598280079e-17,"NHNB","nonlethal",""
"51",51,37,"ec:5.3.1.9","gene","rn:R02739",202,351,"rectangle",46,17,"#BFFFBF","sce:YBR196C",92,"reversible","sce",30,0,1,0.0511943896559281,3,16,0.571428571428571,0.0045662100456621,1,0.603176929003694,3,3,4,8,0.302921628490012,0.12397939308151,"NHNB","nonlethal",""
"52",52,40,"ec:2.7.1.15","gene","rn:R02750",401,663,"rectangle",46,17,"#BFFFBF","sce:YCR036W",94,"reversible","sce",30,0,1,0,6,41,0.745454545454545,0.00543478260869565,1,6.03037455406884e-17,3,3,4,11,0.584300954313189,0.871939695733965,"HNB","nonlethal",""
"53",53,43,"ec:2.7.6.1","gene","rn:R01049",530,567,"rectangle",46,17,"#BFFFBF","sce:YBL068W / sce:YER099C / sce:YHL011C / sce:YKL181W / sce:YOL061W",97,"reversible","sce",30,0,1,0,7,17,0.809523809523809,0.00636942675159236,1,3.5007983243798e-17,3,3,4,7,0,0.962225136577604,"NHNB","nonlethal",""
"54",54,45,"ec:2.7.1.15","gene","rn:R01051",628,520,"rectangle",46,17,"#BFFFBF","sce:YCR036W",99,"reversible","sce",30,0,1,0,6,41,0.745454545454545,0.00543478260869565,1,6.03037455406884e-17,3,3,4,11,0.584300954313189,0.871939695733965,"HNB","nonlethal",""
"55",55,46,"ec:2.2.1.1","gene","rn:R01641",420,560,"rectangle",46,17,"#BFFFBF","sce:YBR117C / sce:YPR074C",100,"reversible","sce",30,0,1,0.111878150339689,12,49,0.320261437908497,0.00492610837438424,1,0.603176929003694,3,3,4,22,0.854923331376948,1,"HNB","nonlethal",""
"56",56,47,"ec:5.3.1.6","gene","rn:R01056",530,485,"rectangle",46,17,"#BFFFBF","sce:YOR095C",101,"reversible","sce",30,0,1,0.0870808678500986,6,45,0.494505494505495,0.00471698113207547,1,0.307690269735963,3,3,4,14,0.933091905860306,0.550920288136358,"HNB","nonlethal",""
"57",57,48,"ec:5.1.3.1","gene","rn:R01529",476,446,"rectangle",46,17,"#BFFFBF","sce:YJL121C",102,"reversible","sce",30,0,1,0.0379355687047995,4,4,0.4,0.00483091787439614,1,0.386169151750373,3,3,4,7,0.309803829078152,0.303696940260227,"NHNB","nonlethal",""
"58",58,49,"ec:2.2.1.1","gene","rn:R01830",305,446,"rectangle",46,17,"#BFFFBF","sce:YBR117C / sce:YPR074C",103,"reversible","sce",30,0,1,0.111878150339689,12,49,0.320261437908497,0.00492610837438424,1,0.603176929003694,3,3,4,22,0.854923331376948,1,"HNB","nonlethal",""
"59",59,50,"ec:4.1.2.13","gene","rn:R01070",200,562,"rectangle",46,17,"#BFFFBF","sce:YKL060C",104,"reversible","sce",30,0,1,0.000712250712250712,7,16,0.761904761904762,0.00462962962962963,1,0.307690269735963,4,3,4,9,0.242895734938458,0.52425747145193,"NHNB","nonlethal",""
