"","pathway","Eukaryotes","Prokaryotes","Animals","Plants","Fungi","Protists","Bacteria","Archaea"
"325","04714",65,0,65,0,0,0,0,0
"326","04720",65,0,65,0,0,0,0,0
"327","04721",65,0,65,0,0,0,0,0
"328","04722",65,0,65,0,0,0,0,0
"329","04723",65,0,65,0,0,0,0,0
"330","04724",65,0,65,0,0,0,0,0
"331","04725",65,0,65,0,0,0,0,0
"332","04726",65,0,65,0,0,0,0,0
"333","04727",65,0,65,0,0,0,0,0
"334","04728",65,0,65,0,0,0,0,0
"335","04730",65,0,65,0,0,0,0,0
"336","04740",65,0,65,0,0,0,0,0
"337","04742",65,0,65,0,0,0,0,0
"338","04744",145,0,145,0,0,0,0,0
"339","04745",64,0,64,0,0,0,0,0
"340","04750",65,0,65,0,0,0,0,0
"341","04810",145,0,145,0,0,0,0,0
"342","04910",145,0,145,0,0,0,0,0
"343","04911",65,0,65,0,0,0,0,0
"344","04912",145,0,145,0,0,0,0,0
"345","04913",65,0,65,0,0,0,0,0
"346","04914",145,0,145,0,0,0,0,0
"347","04915",65,0,65,0,0,0,0,0
"348","04916",145,0,145,0,0,0,0,0
"349","04917",65,0,65,0,0,0,0,0
"350","04918",65,0,65,0,0,0,0,0
"351","04919",65,0,65,0,0,0,0,0
"352","04920",145,0,145,0,0,0,0,0
"353","04921",65,0,65,0,0,0,0,0
"354","04922",65,0,65,0,0,0,0,0
"355","04923",65,0,65,0,0,0,0,0
"356","04924",65,0,65,0,0,0,0,0
"357","04925",65,0,65,0,0,0,0,0
"358","04926",65,0,65,0,0,0,0,0
"359","04927",65,0,65,0,0,0,0,0
"360","04928",65,0,65,0,0,0,0,0
"361","04929",65,0,65,0,0,0,0,0
"362","04930",65,0,65,0,0,0,0,0
"363","04931",65,0,65,0,0,0,0,0
"364","04932",65,0,65,0,0,0,0,0
"365","04933",517,16,248,105,124,40,16,0
"366","04934",65,0,65,0,0,0,0,0
"367","04935",65,0,65,0,0,0,0,0
"368","04940",65,0,65,0,0,0,0,0
"369","04950",65,0,65,0,0,0,0,0
"370","04960",65,0,65,0,0,0,0,0
"371","04961",65,0,65,0,0,0,0,0
"372","04962",65,0,65,0,0,0,0,0
"373","04964",65,0,65,0,0,0,0,0
"374","04966",65,0,65,0,0,0,0,0
"375","04970",65,0,65,0,0,0,0,0
"376","04971",65,0,65,0,0,0,0,0
"377","04972",65,0,65,0,0,0,0,0
"378","04973",65,0,65,0,0,0,0,0
"379","04974",65,0,65,0,0,0,0,0
"380","04975",65,0,65,0,0,0,0,0
"381","04976",65,0,65,0,0,0,0,0
"382","04977",65,0,65,0,0,0,0,0
"383","04978",65,0,65,0,0,0,0,0
"384","04979",65,0,65,0,0,0,0,0
"385","05010",65,0,65,0,0,0,0,0
"386","05012",65,0,65,0,0,0,0,0
"387","05014",65,0,65,0,0,0,0,0
"388","05016",65,0,65,0,0,0,0,0
"389","05020",65,0,65,0,0,0,0,0
"390","05030",65,0,65,0,0,0,0,0
"391","05031",65,0,65,0,0,0,0,0
"392","05032",65,0,65,0,0,0,0,0
"393","05033",65,0,65,0,0,0,0,0
"394","05034",65,0,65,0,0,0,0,0
"395","05100",65,156,65,0,0,0,156,0
"396","05110",1,10,1,0,0,0,10,0
"397","05111",0,50,0,0,0,0,50,0
"398","05120",1,8,1,0,0,0,8,0
"399","05130",1,13,1,0,0,0,13,0
"400","05131",1,7,1,0,0,0,7,0
"401","05132",145,53,145,0,0,0,53,0
"402","05133",65,21,65,0,0,0,21,0
"403","05134",65,19,65,0,0,0,19,0
"404","05135",65,24,65,0,0,0,24,0
"405","05140",68,0,65,0,0,3,0,0
"406","05142",66,0,65,0,0,1,0,0
"407","05143",66,0,65,0,0,1,0,0
"408","05144",73,0,65,0,0,8,0,0
"409","05145",66,0,65,0,0,1,0,0
"410","05146",68,0,65,0,0,3,0,0
"411","05150",65,53,65,0,0,0,53,0
"412","05152",65,70,65,0,0,0,70,0
"413","05160",65,0,65,0,0,0,0,0
"414","05161",65,0,65,0,0,0,0,0
"415","05162",65,0,65,0,0,0,0,0
"416","05163",65,0,65,0,0,0,0,0
"417","05164",89,0,89,0,0,0,0,0
"418","05165",65,0,65,0,0,0,0,0
"419","05166",65,0,65,0,0,0,0,0
"420","05167",65,0,65,0,0,0,0,0
"421","05168",145,0,145,0,0,0,0,0
"422","05169",65,0,65,0,0,0,0,0
"423","05170",65,0,65,0,0,0,0,0
"424","05200",65,0,65,0,0,0,0,0
"425","05202",65,0,65,0,0,0,0,0
"426","05203",65,0,65,0,0,0,0,0
"427","05204",65,0,65,0,0,0,0,0
"428","05205",65,0,65,0,0,0,0,0
"429","05206",65,0,65,0,0,0,0,0
"430","05210",65,0,65,0,0,0,0,0
"431","05211",65,0,65,0,0,0,0,0
"432","05212",65,0,65,0,0,0,0,0
"433","05213",65,0,65,0,0,0,0,0
"434","05214",65,0,65,0,0,0,0,0
"435","05215",65,0,65,0,0,0,0,0
"436","05216",65,0,65,0,0,0,0,0
"437","05217",65,0,65,0,0,0,0,0
"438","05218",65,0,65,0,0,0,0,0
"439","05219",65,0,65,0,0,0,0,0
"440","05220",65,0,65,0,0,0,0,0
"441","05221",65,0,65,0,0,0,0,0
"442","05222",65,0,65,0,0,0,0,0
"443","05223",65,0,65,0,0,0,0,0
"444","05224",65,0,65,0,0,0,0,0
"445","05225",65,0,65,0,0,0,0,0
"446","05226",65,0,65,0,0,0,0,0
"447","05230",65,0,65,0,0,0,0,0
"448","05231",65,0,65,0,0,0,0,0
"449","05235",65,0,65,0,0,0,0,0
"450","05310",65,0,65,0,0,0,0,0
"451","05320",65,0,65,0,0,0,0,0
"452","05321",65,0,65,0,0,0,0,0
"453","05322",65,0,65,0,0,0,0,0
"454","05323",65,0,65,0,0,0,0,0
"455","05330",65,0,65,0,0,0,0,0
"456","05332",65,0,65,0,0,0,0,0
"457","05340",65,0,65,0,0,0,0,0
"458","05410",65,0,65,0,0,0,0,0
"459","05412",65,0,65,0,0,0,0,0
"460","05414",65,0,65,0,0,0,0,0
"461","05416",65,0,65,0,0,0,0,0
"462","05418",65,0,65,0,0,0,0,0
"463","07011",0,0,0,0,0,0,0,0
"464","07012",0,0,0,0,0,0,0,0
"465","07013",0,0,0,0,0,0,0,0
"466","07014",0,0,0,0,0,0,0,0
"467","07015",0,0,0,0,0,0,0,0
"468","07016",0,0,0,0,0,0,0,0
"469","07017",0,0,0,0,0,0,0,0
"470","07018",0,0,0,0,0,0,0,0
"471","07019",0,0,0,0,0,0,0,0
"472","07020",0,0,0,0,0,0,0,0
"473","07021",0,0,0,0,0,0,0,0
"474","07023",0,0,0,0,0,0,0,0
"475","07024",0,0,0,0,0,0,0,0
"476","07025",0,0,0,0,0,0,0,0
"477","07026",0,0,0,0,0,0,0,0
"478","07027",0,0,0,0,0,0,0,0
"479","07028",0,0,0,0,0,0,0,0
"480","07029",0,0,0,0,0,0,0,0
"481","07030",0,0,0,0,0,0,0,0
"482","07031",0,0,0,0,0,0,0,0
"483","07032",0,0,0,0,0,0,0,0
"484","07033",0,0,0,0,0,0,0,0
"485","07034",0,0,0,0,0,0,0,0
"486","07035",0,0,0,0,0,0,0,0
"487","07036",0,0,0,0,0,0,0,0
"488","07037",0,0,0,0,0,0,0,0
"489","07038",0,0,0,0,0,0,0,0
"490","07039",0,0,0,0,0,0,0,0
"491","07040",0,0,0,0,0,0,0,0
"492","07041",0,0,0,0,0,0,0,0
"493","07042",0,0,0,0,0,0,0,0
"494","07043",0,0,0,0,0,0,0,0
"495","07044",0,0,0,0,0,0,0,0
"496","07045",0,0,0,0,0,0,0,0
"497","07046",0,0,0,0,0,0,0,0
"498","07047",0,0,0,0,0,0,0,0
