"","node1","node2","org","pathway","EC"
"198","hsa:2821","hsa:92579","hsa","00010","5.3.1.9"
"199","hsa:2821","hsa:5236","hsa","00010","5.4.2.2"
"200","hsa:2821","hsa:55276","hsa","00010","5.4.2.2"
"201","hsa:5236","hsa:2538","hsa","00010","5.4.2.2"
"202","hsa:5236","hsa:57818","hsa","00010","5.4.2.2"
"203","hsa:5236","hsa:92579","hsa","00010","5.4.2.2"
"204","hsa:5236","hsa:3098","hsa","00010","5.4.2.2"
"205","hsa:5236","hsa:3099","hsa","00010","5.4.2.2"
"206","hsa:5236","hsa:3101","hsa","00010","5.4.2.2"
"207","hsa:5236","hsa:80201","hsa","00010","5.4.2.2 / 5.4.2.7"
"208","hsa:5236","hsa:2645","hsa","00010","5.4.2.2 / 5.4.2.7"
"209","hsa:5236","hsa:2821","hsa","00010","5.4.2.2 / 5.4.2.7"
"210","hsa:55276","hsa:2538","hsa","00010","5.4.2.2 / 5.4.2.7"
"211","hsa:55276","hsa:57818","hsa","00010","5.4.2.2 / 5.4.2.7"
"212","hsa:55276","hsa:92579","hsa","00010","5.4.2.2 / 5.4.2.7"
"213","hsa:55276","hsa:3098","hsa","00010","5.4.2.2 / 5.4.2.7"
"214","hsa:55276","hsa:3099","hsa","00010","5.4.2.2 / 5.4.2.7"
"215","hsa:55276","hsa:3101","hsa","00010","5.4.2.2 / 5.4.2.7"
"216","hsa:55276","hsa:80201","hsa","00010","2.7.1.1"
"217","hsa:55276","hsa:2645","hsa","00010","2.7.1.1"
"218","hsa:55276","hsa:2821","hsa","00010","2.7.1.1"
"219","hsa:3098","hsa:130589","hsa","00010","2.7.1.1"
"220","hsa:3098","hsa:2821","hsa","00010","2.7.1.1"
"221","hsa:3099","hsa:130589","hsa","00010","2.7.1.1"
"222","hsa:3099","hsa:2821","hsa","00010","2.7.1.1"
"223","hsa:3101","hsa:130589","hsa","00010","2.7.1.1"
"224","hsa:3101","hsa:2821","hsa","00010","2.7.1.2"
"225","hsa:80201","hsa:130589","hsa","00010","2.7.1.2"
"226","hsa:80201","hsa:2821","hsa","00010","5.1.3.3"
"227","hsa:2645","hsa:130589","hsa","00010","5.1.3.3"
"228","hsa:2645","hsa:2821","hsa","00010","5.1.3.3"
"229","hsa:130589","hsa:3098","hsa","00010","5.1.3.3"
"230","hsa:130589","hsa:3099","hsa","00010","5.1.3.3"
"231","hsa:130589","hsa:3101","hsa","00010","5.1.3.3"
"232","hsa:130589","hsa:80201","hsa","00010","5.1.3.3"
"233","hsa:130589","hsa:2645","hsa","00010","5.1.3.3"
"234","hsa:130589","hsa:2538","hsa","00010","5.1.3.3"
"235","hsa:130589","hsa:57818","hsa","00010","2.7.2.3"
"236","hsa:130589","hsa:92579","hsa","00010","2.7.2.3"
"237","hsa:130589","hsa:83440","hsa","00010","4.1.1.32"
"238","hsa:5230","hsa:669","hsa","00010","4.1.1.32"
"239","hsa:5232","hsa:669","hsa","00010","4.1.1.32"
"240","hsa:5105","hsa:2023","hsa","00010","4.1.1.32"
"241","hsa:5105","hsa:2026","hsa","00010","4.1.1.32"
"242","hsa:5105","hsa:2027","hsa","00010","4.1.1.32"
"243","hsa:5105","hsa:387712","hsa","00010","4.1.1.32"
"244","hsa:5105","hsa:5313","hsa","00010","4.1.1.32"
"245","hsa:5105","hsa:5315","hsa","00010","4.1.1.32"
"246","hsa:5106","hsa:2023","hsa","00010","4.1.1.32"
"247","hsa:5106","hsa:2026","hsa","00010","4.1.1.32"
"248","hsa:5106","hsa:2027","hsa","00010","4.1.1.32"
"249","hsa:5106","hsa:387712","hsa","00010","6.2.1.1"
"250","hsa:5106","hsa:5313","hsa","00010","6.2.1.1"
"251","hsa:5106","hsa:5315","hsa","00010","6.2.1.1"
"252","hsa:55902","hsa:217","hsa","00010","6.2.1.1"
"253","hsa:55902","hsa:219","hsa","00010","6.2.1.1"
"254","hsa:55902","hsa:223","hsa","00010","6.2.1.1"
"255","hsa:55902","hsa:224","hsa","00010","6.2.1.1"
"256","hsa:55902","hsa:501","hsa","00010","6.2.1.1"
"257","hsa:55902","hsa:218","hsa","00010","6.2.1.1"
"258","hsa:55902","hsa:220","hsa","00010","6.2.1.1"
"259","hsa:55902","hsa:221","hsa","00010","6.2.1.1"
