"org","ensemblID","entrezGeneID","entrezGeneAccession"
"hsa","ENSG00000014138",23649,"POLA2"
"hsa","ENSG00000014164",23144,"ZC3H3"
"hsa","ENSG00000014216",823,"CAPN1"
"hsa","ENSG00000014257",55,"ACP3"
"hsa","ENSG00000014641",4190,"MDH1"
"hsa","ENSG00000014824",10463,"SLC30A9"
"hsa","ENSG00000014914",10903,"MTMR11"
"hsa","ENSG00000014919",1355,"COX15"
"hsa","ENSG00000015133",440193,"CCDC88C"
"hsa","ENSG00000015153",10138,"YAF2"
"hsa","ENSG00000015171",10771,"ZMYND11"
"hsa","ENSG00000015285",7454,"WAS"
"hsa","ENSG00000015413",1800,"DPEP1"
"hsa","ENSG00000015475",637,"BID"
"hsa","ENSG00000015479",9782,"MATR3"
"hsa","ENSG00000015520",29881,"NPC1L1"
"hsa","ENSG00000015532",64132,"XYLT2"
"hsa","ENSG00000015568",84220,"RGPD5"
"hsa","ENSG00000015592",81551,"STMN4"
"hsa","ENSG00000015676",23386,"NUDCD3"
"hsa","ENSG00000016082",3670,"ISL1"
"hsa","ENSG00000016391",55349,"CHDH"
"hsa","ENSG00000016402",53832,"IL20RA"
"hsa","ENSG00000016490",1179,"CLCA1"
"hsa","ENSG00000016602",22802,"CLCA4"
"hsa","ENSG00000016864",55830,"GLT8D1"
"hsa","ENSG00000017260",27032,"ATP2C1"
"hsa","ENSG00000017427",3479,"IGF1"
"hsa","ENSG00000017483",92745,"SLC38A5"
"hsa","ENSG00000017797",10928,"RALBP1"
"hsa","ENSG00000018189",22902,"RUFY3"
"hsa","ENSG00000018236",1272,"CNTN1"
"hsa","ENSG00000018280",6556,"SLC11A1"
"hsa","ENSG00000018408",25937,"WWTR1"
"hsa","ENSG00000018510",8540,"AGPS"
"hsa","ENSG00000018610",63932,"CXorf56"
"hsa","ENSG00000018625",477,"ATP1A2"
"hsa","ENSG00000018699",55622,"TTC27"
"hsa","ENSG00000018869",147948,"ZNF582"
"hsa","ENSG00000019102",23584,"VSIG2"
"hsa","ENSG00000019144",23187,"PHLDB1"
"hsa","ENSG00000019169",8685,"MARCO"
"hsa","ENSG00000019186",1591,"CYP24A1"
"hsa","ENSG00000019485",56981,"PRDM11"
"hsa","ENSG00000019505",57586,"SYT13"
"hsa","ENSG00000019549",6591,"SNAI2"
"hsa","ENSG00000019582",972,"CD74"
"hsa","ENSG00000019991",3082,"HGF"
"hsa","ENSG00000019995",54764,"ZRANB1"
"hsa","ENSG00000020129",23154,"NCDN"
"hsa","ENSG00000020181",25960,"ADGRA2"
"hsa","ENSG00000020256",55734,"ZFP64"
"hsa","ENSG00000020426",4331,"MNAT1"
"hsa","ENSG00000020577",23034,"SAMD4A"
"hsa","ENSG00000020633",864,"RUNX3"
"hsa","ENSG00000020922",4361,"MRE11"
"hsa","ENSG00000021300",58473,"PLEKHB1"
"hsa","ENSG00000021355",1992,"SERPINB1"
"hsa","ENSG00000021461",64816,"CYP3A43"
"hsa","ENSG00000021488",11136,"SLC7A9"
"hsa","ENSG00000021574",6683,"SPAST"
"hsa","ENSG00000021645",9369,"NRXN3"
"hsa","ENSG00000021762",114879,"OSBPL5"
"hsa","ENSG00000021776",9716,"AQR"
"hsa","ENSG00000021826",1373,"CPS1"
"hsa","ENSG00000021852",732,"C8B"
"hsa","ENSG00000022267",2273,"FHL1"
"hsa","ENSG00000022277",51507,"RTF2"
"hsa","ENSG00000022355",2554,"GABRA1"
"hsa","ENSG00000022556",55655,"NLRP2"
"hsa","ENSG00000022567",57210,"SLC45A4"
"hsa","ENSG00000022840",9921,"RNF10"
"hsa","ENSG00000022976",55778,"ZNF839"
"hsa","ENSG00000023041",64429,"ZDHHC6"
"hsa","ENSG00000023171",57476,"GRAMD1B"
"hsa","ENSG00000023191",6050,"RNH1"
"hsa","ENSG00000023228",4719,"NDUFS1"
"hsa","ENSG00000023287",9821,"RB1CC1"
"hsa","ENSG00000023318",23071,"ERP44"
"hsa","ENSG00000023330",211,"ALAS1"
"hsa","ENSG00000023445",330,"BIRC3"
"hsa","ENSG00000023516",11215,"AKAP11"
"hsa","ENSG00000023572",51022,"GLRX2"
"hsa","ENSG00000023608",6617,"SNAPC1"
"hsa","ENSG00000023697",51071,"DERA"
"hsa","ENSG00000023734",11171,"STRAP"
"hsa","ENSG00000023839",1244,"ABCC2"
"hsa","ENSG00000023892",50619,"DEF6"
"hsa","ENSG00000023902",51177,"PLEKHO1"
"hsa","ENSG00000023909",2730,"GCLM"
"hsa","ENSG00000024048",23304,"UBR2"
"hsa","ENSG00000024422",30846,"EHD2"
"hsa","ENSG00000024526",55635,"DEPDC1"
